ID,Turn,Payload,CreatedAt,Player0,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Key,Version,IsLatest,Changes,OpinionFrom0,OpinionTo0,OpinionFrom1,OpinionTo1,OpinionFrom2,OpinionTo2,OpinionFrom3,OpinionTo3,OpinionFrom4,OpinionTo4,OpinionFrom5,OpinionTo5,OpinionFrom6,OpinionTo6,OpinionFrom7,OpinionTo7,OpinionFrom8,OpinionTo8,OpinionFrom9,OpinionTo9,OpinionFrom10,OpinionTo10,OpinionFrom11,OpinionTo11,OpinionFrom12,OpinionTo12,OpinionFrom13,OpinionTo13,OpinionFrom14,OpinionTo14,OpinionFrom15,OpinionTo15,OpinionFrom16,OpinionTo16,OpinionFrom17,OpinionTo17,OpinionFrom18,OpinionTo18,OpinionFrom19,OpinionTo19,OpinionFrom20,OpinionTo20,OpinionFrom21,OpinionTo21
1,0,{},1761648690,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"[""OpinionFrom0"",""OpinionTo0"",""OpinionFrom1"",""OpinionTo1"",""OpinionFrom2"",""OpinionTo2"",""OpinionFrom3"",""OpinionTo3""]","Our top friend: None
Our top Competitor: None",,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,{},1761648692,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"[""OpinionFrom0"",""OpinionTo0"",""OpinionFrom1"",""OpinionTo1"",""OpinionFrom2"",""OpinionTo2"",""OpinionFrom3"",""OpinionTo3""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"Our top friend: None
Our top Competitor: None",,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,{},1761648692,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,"[""OpinionFrom0"",""OpinionTo0"",""OpinionFrom1"",""OpinionTo1"",""OpinionFrom2"",""OpinionTo2"",""OpinionFrom3"",""OpinionTo3""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"Our top friend: None
Our top Competitor: None",,"You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,{},1761648693,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,"[""OpinionFrom0"",""OpinionTo0"",""OpinionFrom1"",""OpinionTo1"",""OpinionFrom2"",""OpinionTo2"",""OpinionFrom3"",""OpinionTo3""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"Our top friend: None
Our top Competitor: None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,{},1761648731,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"[""OpinionFrom1"",""OpinionTo1""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,They desire friendly relations with our empire.,Our real approach is Friendly.,"Our top friend: None
Our top Competitor: None",,"You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,{},1761648747,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"[""OpinionFrom3""]","Our top friend: None
Our top Competitor: None",,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,There haven't been any major incidents which have shaped your relationship.,Our real approach is Neutral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,{},1761648749,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,"[""OpinionFrom2"",""OpinionTo2""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"Our top friend: None
Our top Competitor: None",,They desire friendly relations with our empire.,Our real approach is Friendly.,"You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,{},1761648750,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,"[""OpinionFrom0"",""OpinionFrom3""]",There haven't been any major incidents which have shaped your relationship.,Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"Our top friend: None
Our top Competitor: The Ottomans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,{},1761648761,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"[""OpinionFrom3""]","Our top friend: None
Our top Competitor: None",,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,{},1761648763,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,"[""OpinionFrom0""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"Our top friend: None
Our top Competitor: The Ottomans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
