ID,Turn,Payload,CreatedAt,Player0,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,PlayerID,EconomicStrategies,MilitaryStrategies,Technologies,NextResearch,Policies,PolicyBranches,NextPolicy,NextBranch
1,0,{},1761648691,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Pottery"",""Mining"",""Trapping"",""The Wheel"",""Animal Husbandry""]",None,[],"[""Tradition"",""Progress"",""Authority""]",None,None
2,0,{},1761648691,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]",[],None,[],"[""Progress"",""Tradition"",""Authority""]",None,None
3,0,{},1761648691,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]",[],None,[],"[""Progress"",""Authority"",""Tradition""]",None,None
4,0,{},1761648691,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]",[],None,[],"[""Progress"",""Tradition"",""Authority""]",None,None
5,1,{},1761648705,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Mining"",""Trapping"",""The Wheel"",""Animal Husbandry"",""Fishing""]",None,[],"[""Tradition"",""Progress"",""Authority""]",None,None
6,1,{},1761648705,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Trapping"",""Mining"",""The Wheel"",""Animal Husbandry"",""Fishing""]",None,[],"[""Tradition"",""Progress"",""Authority""]",None,None
7,1,{},1761648705,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Pottery"",""Mining"",""Trapping"",""The Wheel"",""Animal Husbandry""]",None,[],"[""Progress"",""Tradition"",""Authority""]",None,None
8,1,{},1761648705,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Pottery"",""Mining"",""Trapping"",""The Wheel"",""Animal Husbandry""]",None,[],"[""Progress"",""Tradition"",""Authority""]",None,None
9,2,{},1761648719,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Mining"",""Trapping"",""The Wheel"",""Animal Husbandry"",""Fishing""]",Mining,[],"[""Tradition"",""Progress"",""Authority""]",None,None
10,2,{},1761648719,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Trapping"",""The Wheel"",""Mining"",""Animal Husbandry"",""Fishing""]",None,[],"[""Tradition"",""Progress"",""Authority""]",None,None
11,2,{},1761648719,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Mining"",""Trapping"",""The Wheel"",""Animal Husbandry"",""Fishing""]",None,[],"[""Progress"",""Tradition"",""Authority""]",None,None
12,2,{},1761648719,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Mining"",""Trapping"",""The Wheel"",""Animal Husbandry"",""Fishing""]",None,[],"[""Progress"",""Tradition"",""Authority""]",None,None
13,3,{},1761648730,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Mining"",""Trapping"",""The Wheel"",""Animal Husbandry"",""Fishing""]",Mining,[],"[""Tradition"",""Progress"",""Authority""]",None,None
14,3,{},1761648730,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Trapping"",""The Wheel"",""Mining"",""Animal Husbandry"",""Fishing""]",None,[],"[""Tradition"",""Progress"",""Authority""]",None,None
15,3,{},1761648730,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Mining"",""Trapping"",""The Wheel"",""Animal Husbandry"",""Fishing""]",None,[],"[""Progress"",""Tradition"",""Authority""]",None,None
16,3,{},1761648730,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Mining"",""Trapping"",""The Wheel"",""Animal Husbandry"",""Fishing""]",None,[],"[""Progress"",""Tradition"",""Authority""]",None,None
17,4,{},1761648748,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Mining"",""The Wheel"",""Trapping"",""Animal Husbandry"",""Fishing""]",Mining,[],"[""Tradition"",""Progress"",""Authority""]",None,Tradition
18,4,{},1761648748,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Trapping"",""The Wheel"",""Mining"",""Animal Husbandry"",""Fishing""]",None,[],"[""Tradition"",""Progress"",""Authority""]",None,None
19,4,{},1761648748,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Mining"",""Trapping"",""The Wheel"",""Animal Husbandry"",""Fishing""]",None,[],"[""Progress"",""Tradition"",""Authority""]",None,None
20,4,{},1761648748,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"[""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Mining"",""Trapping"",""The Wheel"",""Animal Husbandry"",""Fishing""]",None,[],"[""Progress"",""Tradition"",""Authority""]",None,None
21,5,{},1761648761,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""NeedRecon"",""EnoughRecon"",""NeedReconSea"",""EnoughReconSea"",""EarlyExpansion"",""EnoughExpansion"",""NeedHappiness"",""NeedHappinessCritical"",""CitiesNeedNavalGrowth"",""CitiesNeedNavalTileImprovement"",""IslandStart"",""TechLeader"",""StartedPiety""]","[""AtWar"",""WarMobilization"",""NeedRangedEarly"",""WinningWars"",""LosingWars""]","[""Mining"",""The Wheel"",""Trapping"",""Animal Husbandry"",""Fishing""]",Mining,[],"[""Tradition"",""Progress"",""Authority""]",None,Tradition
