ID,Turn,Payload,CreatedAt,Player0,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,PlayerID,ZoneID,Territory,Dominance,Domain,Posture,AreaID,City,CenterX,CenterY,Plots,Value,FriendlyStrength,EnemyStrength,NeutralStrength,Neighbors,Units
1,0,{},1761648691,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,Neutral,Friendly,Land,Exploit Flanks,1,,6,10,30,3,3200,0,0,{},"{""The Ottomans"":{""Warrior"":1,""Pathfinder"":1}}"
2,1,{},1761648705,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,37,66,3700,0,0,"[-1029,1040,100000]","{""The Ottomans"":{""Warrior"":1,""Pathfinder"":1}}"
3,2,{},1761648719,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,44,66,3700,0,0,"[-1029,1040,100000]","{""The Ottomans"":{""Warrior"":1,""Pathfinder"":1}}"
4,3,{},1761648730,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,8,10,49,66,4100,0,0,"[-1029,1040,100000,1033]","{""The Ottomans"":{""Warrior"":1}}"
5,3,{},1761648730,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,Neutral,Friendly,Land,Exploit Flanks,1,Ormus,10,14,1,24,1173,0,1308,[1029],"{""The Ottomans"":{""Pathfinder"":1}}"
6,4,{},1761648748,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,8,10,49,66,2500,0,0,"[-1029,1040,1033,100000]","{""The Ottomans"":{""Warrior"":1}}"
7,4,{},1761648748,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,Neutral,Friendly,Land,Exploit Flanks,1,Ormus,10,15,10,24,2373,0,1308,[1029],"{""The Ottomans"":{""Pathfinder"":1}}"
8,5,{},1761648761,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,15200,0,0,{},"{""City-State Ormus"":{""Warrior"":1}}"
9,5,{},1761648761,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,8,10,49,66,2500,0,0,"[-1029,1040,1033,100000]","{""The Ottomans"":{""Warrior"":1}}"
10,5,{},1761648761,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,Neutral,Friendly,Land,Exploit Flanks,1,Ormus,11,15,14,24,4373,0,1308,"[1029,100000,-1033,-100001]","{""The Ottomans"":{""Pathfinder"":1}}"
11,6,{},1761648775,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,Neutral,Friendly,Land,Exploit Flanks,1,Ormus,10,16,20,48,6026,0,1316,"[1029,-1033,100000,-100001]","{""Korea"":{""Scout"":1},""City-State Ormus"":{""Warrior"":1},""The Ottomans"":{""Pathfinder"":1}}"
12,6,{},1761648775,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,Neutral,Friendly,Land,Exploit Flanks,1,Geneva,6,6,9,24,2240,0,1308,"[1029,100000]","{""The Ottomans"":{""Warrior"":1}}"
13,7,{},1761648790,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,12768,0,0,{},"{""City-State Lhasa"":{""Warrior"":1}}"
14,7,{},1761648790,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,8,10,50,66,900,0,0,"[1040,-1029,1033,100000]","{""The Ottomans"":{""Warrior"":1}}"
15,7,{},1761648790,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,Neutral,Friendly,Land,Exploit Flanks,1,Ormus,10,17,29,48,6026,0,1316,"[-1033,1029,100000,-1037,-100001]","{""Korea"":{""Scout"":1},""The Ottomans"":{""Pathfinder"":1}}"
16,8,{},1761648804,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,66,1966,0,0,"[-1029,1040,1033,100000]","{""The Ottomans"":{""Warrior"":1}}"
17,8,{},1761648804,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,Neutral,Friendly,Land,Exploit Flanks,1,Ormus,10,17,32,24,6026,0,1316,"[-1033,1029,100000,-1037,-100001]","{""City-State Ormus"":{""Warrior"":1},""The Ottomans"":{""Pathfinder"":1}}"
18,9,{},1761648815,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,66,2500,0,0,"[-1029,1040,1033,100000]","{""The Ottomans"":{""Warrior"":1}}"
