ID,Turn,Payload,CreatedAt,Player0,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Key,Version,IsLatest,Changes,DominationVictory,ScienceVictory,CulturalVictory,DiplomaticVictory
1,0,{},1761648691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"[""ScienceVictory"",""DominationVictory"",""CulturalVictory"",""DiplomaticVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":0,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":0,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":0,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":0,""InfluentialCivs"":0}}",Unlocked in later eras
2,17,{},1761648953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":0,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":7,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":0,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":7,""InfluentialCivs"":0}}",Unlocked in later eras
3,18,{},1761648968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":0,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":7,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":7,""InfluentialCivs"":0}}",Unlocked in later eras
4,23,{},1761649072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":0,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":7,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0}}",Unlocked in later eras
5,24,{},1761649088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":7,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0}}",Unlocked in later eras
6,34,{},1761649280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0}}",Unlocked in later eras
7,36,{},1761649319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":14,""InfluentialCivs"":0}}",Unlocked in later eras
8,42,{},1761649431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":14,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":14,""InfluentialCivs"":0}}",Unlocked in later eras
9,44,{},1761649494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":11,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":14,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":14,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":14,""InfluentialCivs"":0}}",Unlocked in later eras
10,54,{},1761649678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":18,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":14,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":14,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":14,""InfluentialCivs"":0}}",Unlocked in later eras
11,61,{},1761649916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":18,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":18,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":18,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":18,""InfluentialCivs"":0}}",Unlocked in later eras
12,73,{},1761650152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":18,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":18,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":18,""InfluentialCivs"":0}}",Unlocked in later eras
13,81,{},1761650319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":18,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":18,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":22,""InfluentialCivs"":0}}",Unlocked in later eras
14,85,{},1761650418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":22,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":22,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":22,""InfluentialCivs"":0}}",Unlocked in later eras
